Estado,i,f,e,l,s,w,h,T,R,U,E,F,A,L,S,M,X,+,-,*,/,%,),(,n,t,g,r,a,b,o,u,{,},=,!,>,<,;,&,|,c,d,j,k,m,p,q,v,x,y,z,0,1,2,3,4,5,6,7,8,9
0,1,2,3,2,2,4,2,5,69,69,69,6,69,69,69,7,69,8,9,10,11,12,13,14,2,2,2,15,2,16,2,2,17,18,19,20,21,22,23,24,25,2,2,2,2,2,2,2,2,2,2,2,26,26,26,26,26,26,26,26,26,26,69
1,2,27,2,2,2,2,2,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,28,2,2,2,2,2,2,2,69,69,69,69,69,69,69,69,69,2,2,2,2,2,2,2,2,2,2,2,69,69,69,69,69,69,69,69,69,69,69
2,2,2,2,2,2,2,2,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,2,2,2,2,2,2,2,2,69,69,69,69,69,69,69,69,69,2,2,2,2,2,2,2,2,2,2,2,69,69,69,69,69,69,69,69,69,69,69
3,2,2,2,29,2,2,2,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,2,2,2,2,2,2,2,2,69,69,69,69,69,69,69,69,69,2,2,2,2,2,2,2,2,2,2,2,69,69,69,69,69,69,69,69,69,69,69
4,2,2,2,2,2,2,30,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,2,2,2,2,2,2,2,2,69,69,69,69,69,69,69,69,69,2,2,2,2,2,2,2,2,2,2,2,69,69,69,69,69,69,69,69,69,69,69
5,69,69,69,69,69,69,69,69,31,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69
6,69,69,69,69,69,69,69,69,69,69,69,69,32,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69
7,69,69,69,69,69,69,69,69,69,69,69,69,33,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69
8,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69
9,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69
